sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
564,20747,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0564.png
564,20747,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0564.png
564,20747,0x16C0,$02:B04A,C8,216.555,97.656,True,frame_0564.png
564,20747,0x1700,$02:90F0,C8,266.0,196.0,False,frame_0564.png
564,20747,0x1740,$02:9274,E0,266.0,188.0,False,frame_0564.png
564,20747,0x1780,$02:B04A,C8,255.727,97.656,True,frame_0564.png
564,20747,0x17C0,$02:B04A,C8,62.031,171.863,True,frame_0564.png
564,20747,0x1800,$02:B04A,C8,24.469,101.629,True,frame_0564.png
564,20747,0x1840,$02:B04A,C8,27.695,132.527,True,frame_0564.png
564,20747,0x1880,$02:B04A,C8,37.234,156.59,True,frame_0564.png
564,20747,0x18C0,$02:90F0,C8,234.0,184.0,True,frame_0564.png
564,20747,0x1900,$02:9274,E0,234.0,176.0,True,frame_0564.png
564,20747,0x1AC0,$04:F97F,CC,214.0,97.0,True,frame_0564.png
566,20749,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0566.png
566,20749,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0566.png
566,20749,0x16C0,$02:B04A,C8,219.961,97.656,True,frame_0566.png
566,20749,0x1700,$02:90F0,C8,264.0,196.0,False,frame_0566.png
566,20749,0x1740,$02:9274,E0,264.0,188.0,False,frame_0566.png
566,20749,0x1780,$02:B04A,C8,259.133,97.656,False,frame_0566.png
566,20749,0x17C0,$02:B04A,C8,59.219,170.945,True,frame_0566.png
566,20749,0x1800,$02:B04A,C8,24.793,98.875,True,frame_0566.png
566,20749,0x1840,$02:B04A,C8,27.156,129.941,True,frame_0566.png
566,20749,0x1880,$02:B04A,C8,35.859,154.773,True,frame_0566.png
566,20749,0x18C0,$02:90F0,C8,232.0,184.0,True,frame_0566.png
566,20749,0x1900,$02:9274,E0,232.0,176.0,True,frame_0566.png
566,20749,0x1AC0,$04:F97F,CC,210.82,97.633,True,frame_0566.png
568,20751,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0568.png
568,20751,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0568.png
568,20751,0x16C0,$02:B04A,C8,223.367,97.656,True,frame_0568.png
568,20751,0x1700,$02:90F0,C8,262.0,196.0,False,frame_0568.png
568,20751,0x1740,$02:9274,E0,262.0,188.0,False,frame_0568.png
568,20751,0x1780,$02:B04A,C8,262.539,97.656,False,frame_0568.png
568,20751,0x17C0,$02:B04A,C8,56.531,169.949,True,frame_0568.png
568,20751,0x1800,$02:B04A,C8,25.258,96.168,True,frame_0568.png
568,20751,0x1840,$02:B04A,C8,26.648,127.293,True,frame_0568.png
568,20751,0x1880,$02:B04A,C8,34.609,152.879,True,frame_0568.png
568,20751,0x18C0,$02:90F0,C8,230.0,184.0,True,frame_0568.png
568,20751,0x1900,$02:9274,E0,230.0,176.0,True,frame_0568.png
568,20751,0x1AC0,$04:F97F,CC,207.641,98.266,True,frame_0568.png
570,20753,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0570.png
570,20753,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0570.png
570,20753,0x16C0,$02:B04A,C8,226.773,97.656,True,frame_0570.png
570,20753,0x1700,$02:90F0,C8,260.0,196.0,False,frame_0570.png
570,20753,0x1740,$02:9274,E0,260.0,188.0,False,frame_0570.png
570,20753,0x1780,$02:B04A,C8,265.945,97.656,False,frame_0570.png
570,20753,0x17C0,$02:B04A,C8,53.969,168.875,True,frame_0570.png
570,20753,0x1800,$02:B04A,C8,25.863,93.508,True,frame_0570.png
570,20753,0x1840,$02:B04A,C8,26.172,124.582,True,frame_0570.png
570,20753,0x1880,$02:B04A,C8,33.484,150.906,True,frame_0570.png
570,20753,0x18C0,$02:90F0,C8,228.0,184.0,True,frame_0570.png
570,20753,0x1900,$02:9274,E0,228.0,176.0,True,frame_0570.png
570,20753,0x1AC0,$04:F97F,CC,204.461,98.898,True,frame_0570.png
572,20755,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0572.png
572,20755,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0572.png
572,20755,0x16C0,$02:B04A,C8,230.18,97.656,True,frame_0572.png
572,20755,0x1700,$02:90F0,C8,258.0,196.0,False,frame_0572.png
572,20755,0x1740,$02:9274,E0,258.0,188.0,False,frame_0572.png
572,20755,0x1780,$02:B04A,C8,269.352,97.656,False,frame_0572.png
572,20755,0x17C0,$02:B04A,C8,51.531,167.723,True,frame_0572.png
572,20755,0x1800,$02:B04A,C8,26.609,90.895,True,frame_0572.png
572,20755,0x1840,$02:B04A,C8,25.727,121.809,True,frame_0572.png
572,20755,0x1880,$02:B04A,C8,32.484,148.855,True,frame_0572.png
572,20755,0x18C0,$02:90F0,C8,226.0,184.0,True,frame_0572.png
572,20755,0x1900,$02:9274,E0,226.0,176.0,True,frame_0572.png
572,20755,0x1AC0,$04:F97F,CC,201.281,99.531,True,frame_0572.png
574,20757,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0574.png
574,20757,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0574.png
574,20757,0x16C0,$02:B04A,C8,233.586,97.656,True,frame_0574.png
574,20757,0x1700,$02:90F0,C8,256.0,196.0,False,frame_0574.png
574,20757,0x1740,$02:9274,E0,256.0,188.0,False,frame_0574.png
574,20757,0x17C0,$02:B04A,C8,49.219,166.492,True,frame_0574.png
574,20757,0x1800,$02:B04A,C8,27.496,88.328,True,frame_0574.png
574,20757,0x1840,$02:B04A,C8,25.312,118.973,True,frame_0574.png
574,20757,0x1880,$02:B04A,C8,31.609,146.727,True,frame_0574.png
574,20757,0x18C0,$02:90F0,C8,224.0,184.0,True,frame_0574.png
574,20757,0x1900,$02:9274,E0,224.0,176.0,True,frame_0574.png
574,20757,0x1AC0,$04:F97F,CC,198.102,100.164,True,frame_0574.png
576,20759,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0576.png
576,20759,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0576.png
576,20759,0x16C0,$02:B04A,C8,236.992,97.656,True,frame_0576.png
576,20759,0x1700,$02:90F0,C8,254.0,196.0,True,frame_0576.png
576,20759,0x1740,$02:9274,E0,254.0,188.0,True,frame_0576.png
576,20759,0x17C0,$02:B04A,C8,47.031,165.184,True,frame_0576.png
576,20759,0x1800,$02:B04A,C8,28.523,85.809,True,frame_0576.png
576,20759,0x1840,$02:B04A,C8,24.93,116.074,True,frame_0576.png
576,20759,0x1880,$02:B04A,C8,30.859,144.52,True,frame_0576.png
576,20759,0x18C0,$02:90F0,C8,222.0,184.0,True,frame_0576.png
576,20759,0x1900,$02:9274,E0,222.0,176.0,True,frame_0576.png
576,20759,0x1AC0,$04:F97F,CC,194.922,100.797,True,frame_0576.png
578,20761,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0578.png
578,20761,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0578.png
578,20761,0x16C0,$02:B04A,C8,240.398,97.656,True,frame_0578.png
578,20761,0x1700,$02:90F0,C8,252.0,196.0,True,frame_0578.png
578,20761,0x1740,$02:9274,E0,252.0,188.0,True,frame_0578.png
578,20761,0x17C0,$02:B04A,C8,44.969,163.797,True,frame_0578.png
578,20761,0x1800,$02:B04A,C8,29.691,83.336,True,frame_0578.png
578,20761,0x1840,$02:B04A,C8,24.578,113.113,True,frame_0578.png
578,20761,0x1880,$02:B04A,C8,30.164,142.246,True,frame_0578.png
578,20761,0x18C0,$02:90F0,C8,220.0,184.0,True,frame_0578.png
578,20761,0x1900,$02:9274,E0,220.0,176.0,True,frame_0578.png
578,20761,0x1AC0,$04:F97F,CC,191.742,101.43,True,frame_0578.png
580,20763,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0580.png
580,20763,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0580.png
580,20763,0x16C0,$02:B04A,C8,243.805,97.656,True,frame_0580.png
580,20763,0x1700,$02:90F0,C8,250.0,196.0,True,frame_0580.png
580,20763,0x1740,$02:9274,E0,250.0,188.0,True,frame_0580.png
580,20763,0x17C0,$02:B04A,C8,43.031,162.332,True,frame_0580.png
580,20763,0x1800,$02:B04A,C8,31.0,80.91,True,frame_0580.png
580,20763,0x1840,$02:B04A,C8,24.34,110.172,True,frame_0580.png
580,20763,0x1880,$02:B04A,C8,29.5,139.91,True,frame_0580.png
580,20763,0x18C0,$02:90F0,C8,218.0,184.0,True,frame_0580.png
580,20763,0x1900,$02:9274,E0,218.0,176.0,True,frame_0580.png
580,20763,0x1AC0,$04:F97F,CC,188.562,102.062,True,frame_0580.png
582,20765,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0582.png
582,20765,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0582.png
582,20765,0x16C0,$02:B04A,C8,247.211,97.656,True,frame_0582.png
582,20765,0x1700,$02:90F0,C8,248.0,196.0,True,frame_0582.png
582,20765,0x1740,$02:9274,E0,248.0,188.0,True,frame_0582.png
582,20765,0x17C0,$02:B04A,C8,41.219,160.789,True,frame_0582.png
582,20765,0x1800,$02:B04A,C8,32.402,78.625,True,frame_0582.png
582,20765,0x1840,$02:B04A,C8,24.242,107.277,True,frame_0582.png
582,20765,0x1880,$02:B04A,C8,28.867,137.512,True,frame_0582.png
582,20765,0x18C0,$02:90F0,C8,216.0,184.0,True,frame_0582.png
582,20765,0x1900,$02:9274,E0,216.0,176.0,True,frame_0582.png
582,20765,0x1AC0,$04:F97F,CC,185.383,102.695,True,frame_0582.png
584,20767,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0584.png
584,20767,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0584.png
584,20767,0x16C0,$02:B04A,C8,250.617,97.656,True,frame_0584.png
584,20767,0x1700,$02:90F0,C8,246.0,196.0,True,frame_0584.png
584,20767,0x1740,$02:9274,E0,246.0,188.0,True,frame_0584.png
584,20767,0x17C0,$02:B04A,C8,39.531,159.168,True,frame_0584.png
584,20767,0x1800,$02:B04A,C8,33.883,76.512,True,frame_0584.png
584,20767,0x1840,$02:B04A,C8,24.285,104.43,True,frame_0584.png
584,20767,0x1880,$02:B04A,C8,28.266,135.051,True,frame_0584.png
584,20767,0x18C0,$02:90F0,C8,214.0,184.0,True,frame_0584.png
584,20767,0x1900,$02:9274,E0,214.0,176.0,True,frame_0584.png
584,20767,0x1AC0,$04:F97F,CC,182.203,103.328,True,frame_0584.png
586,20769,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0586.png
586,20769,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0586.png
586,20769,0x16C0,$02:B04A,C8,254.023,97.656,True,frame_0586.png
586,20769,0x1700,$02:90F0,C8,244.0,196.0,True,frame_0586.png
586,20769,0x1740,$02:9274,E0,244.0,188.0,True,frame_0586.png
586,20769,0x17C0,$02:B04A,C8,37.969,157.469,True,frame_0586.png
586,20769,0x1800,$02:B04A,C8,35.441,74.57,True,frame_0586.png
586,20769,0x1840,$02:B04A,C8,24.469,101.629,True,frame_0586.png
586,20769,0x1880,$02:B04A,C8,27.695,132.527,True,frame_0586.png
586,20769,0x18C0,$02:90F0,C8,212.0,184.0,True,frame_0586.png
586,20769,0x1900,$02:9274,E0,212.0,176.0,True,frame_0586.png
586,20769,0x1AC0,$04:F97F,CC,179.023,103.961,True,frame_0586.png
588,20771,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0588.png
588,20771,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0588.png
588,20771,0x16C0,$02:B04A,C8,257.43,97.656,False,frame_0588.png
588,20771,0x1700,$02:90F0,C8,242.0,196.0,True,frame_0588.png
588,20771,0x1740,$02:9274,E0,242.0,188.0,True,frame_0588.png
588,20771,0x17C0,$02:B04A,C8,36.531,155.691,True,frame_0588.png
588,20771,0x1800,$02:B04A,C8,37.078,72.801,True,frame_0588.png
588,20771,0x1840,$02:B04A,C8,24.793,98.875,True,frame_0588.png
588,20771,0x1880,$02:B04A,C8,27.156,129.941,True,frame_0588.png
588,20771,0x18C0,$02:90F0,C8,210.0,184.0,True,frame_0588.png
588,20771,0x1900,$02:9274,E0,210.0,176.0,True,frame_0588.png
588,20771,0x1AC0,$04:F97F,CC,175.844,104.594,True,frame_0588.png
590,20773,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0590.png
590,20773,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0590.png
590,20773,0x16C0,$02:B04A,C8,260.836,97.656,False,frame_0590.png
590,20773,0x1700,$02:90F0,C8,240.0,196.0,True,frame_0590.png
590,20773,0x1740,$02:9274,E0,240.0,188.0,True,frame_0590.png
590,20773,0x17C0,$02:B04A,C8,35.219,153.836,True,frame_0590.png
590,20773,0x1800,$02:B04A,C8,38.793,71.203,True,frame_0590.png
590,20773,0x1840,$02:B04A,C8,25.258,96.168,True,frame_0590.png
590,20773,0x1880,$02:B04A,C8,26.648,127.293,True,frame_0590.png
590,20773,0x18C0,$02:90F0,C8,208.0,184.0,True,frame_0590.png
590,20773,0x1900,$02:9274,E0,208.0,176.0,True,frame_0590.png
590,20773,0x1AC0,$04:F97F,CC,172.664,105.227,True,frame_0590.png
592,20775,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0592.png
592,20775,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0592.png
592,20775,0x16C0,$02:B04A,C8,264.242,97.656,False,frame_0592.png
592,20775,0x1700,$02:90F0,C8,238.0,196.0,True,frame_0592.png
592,20775,0x1740,$02:9274,E0,238.0,188.0,True,frame_0592.png
592,20775,0x17C0,$02:B04A,C8,34.031,151.902,True,frame_0592.png
592,20775,0x1800,$02:B04A,C8,40.586,69.777,True,frame_0592.png
592,20775,0x1840,$02:B04A,C8,25.863,93.508,True,frame_0592.png
592,20775,0x1880,$02:B04A,C8,26.172,124.582,True,frame_0592.png
592,20775,0x18C0,$02:90F0,C8,206.0,184.0,True,frame_0592.png
592,20775,0x1900,$02:9274,E0,206.0,176.0,True,frame_0592.png
592,20775,0x1AC0,$04:F97F,CC,169.484,105.859,True,frame_0592.png
594,20777,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0594.png
594,20777,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0594.png
594,20777,0x16C0,$02:B04A,C8,267.648,97.656,False,frame_0594.png
594,20777,0x1700,$02:90F0,C8,236.0,196.0,True,frame_0594.png
594,20777,0x1740,$02:9274,E0,236.0,188.0,True,frame_0594.png
594,20777,0x17C0,$02:B04A,C8,32.969,149.891,True,frame_0594.png
594,20777,0x1800,$02:B04A,C8,42.457,68.523,True,frame_0594.png
594,20777,0x1840,$02:B04A,C8,26.609,90.895,True,frame_0594.png
594,20777,0x1880,$02:B04A,C8,25.727,121.809,True,frame_0594.png
594,20777,0x18C0,$02:90F0,C8,204.0,184.0,True,frame_0594.png
594,20777,0x1900,$02:9274,E0,204.0,176.0,True,frame_0594.png
594,20777,0x1AC0,$04:F97F,CC,166.305,106.492,True,frame_0594.png
596,20779,0x1000,$04:DF96,C8,96.5,112.0,True,frame_0596.png
596,20779,0x1040,$04:F8BC,C0,96.0,112.0,True,frame_0596.png
596,20779,0x16C0,$02:B04A,C8,271.055,97.656,False,frame_0596.png
596,20779,0x1700,$02:90F0,C8,234.0,196.0,True,frame_0596.png
596,20779,0x1740,$02:9274,E0,234.0,188.0,True,frame_0596.png
596,20779,0x17C0,$02:B04A,C8,32.031,147.801,True,frame_0596.png
596,20779,0x1800,$02:B04A,C8,44.406,67.441,True,frame_0596.png
596,20779,0x1840,$02:B04A,C8,27.496,88.328,True,frame_0596.png
596,20779,0x1880,$02:B04A,C8,25.312,118.973,True,frame_0596.png
596,20779,0x18C0,$02:90F0,C8,202.0,184.0,True,frame_0596.png
