sample,emu_frame,player_x,player_y
4,20187,96,112
8,20191,96,112
12,20195,96,112
16,20199,96,112
20,20203,96,112
24,20207,96,112
28,20211,96,112
32,20215,96,112
36,20219,96,112
40,20223,96,112
44,20227,96,112
48,20231,96,112
52,20235,96,112
56,20239,96,112
60,20243,96,112
64,20247,96,112
68,20251,96,112
72,20255,96,112
76,20259,96,112
80,20263,96,112
84,20267,96,112
88,20271,96,112
92,20275,96,112
96,20279,96,112
100,20283,96,112
104,20287,96,112
108,20291,96,112
112,20295,96,112
116,20299,96,112
120,20303,96,112
124,20307,96,112
128,20311,96,112
132,20315,96,112
136,20319,96,112
140,20323,96,112
144,20327,96,112
148,20331,96,112
152,20335,96,112
156,20339,96,112
160,20343,96,112
164,20347,96,112
168,20351,96,112
172,20355,96,112
176,20359,96,112
180,20363,96,112
184,20367,96,112
188,20371,96,112
192,20375,96,112
196,20379,96,112
200,20383,96,112
204,20387,96,112
208,20391,96,112
212,20395,96,112
216,20399,96,112
220,20403,96,112
224,20407,96,112
228,20411,96,112
232,20415,96,112
236,20419,96,112
240,20423,96,112
244,20427,96,112
248,20431,96,112
252,20435,96,112
256,20439,96,112
260,20443,96,112
264,20447,96,112
268,20451,96,112
272,20455,96,112
276,20459,96,112
280,20463,96,112
284,20467,96,112
288,20471,96,112
292,20475,96,112
296,20479,96,112
300,20483,96,112
304,20487,96,112
308,20491,96,112
312,20495,96,112
316,20499,96,112
320,20503,96,112
324,20507,96,112
328,20511,96,112
332,20515,96,112
336,20519,96,112
340,20523,96,112
344,20527,96,112
348,20531,96,112
352,20535,96,112
356,20539,96,112
360,20543,96,112
364,20547,96,112
368,20551,96,112
372,20555,96,112
376,20559,96,112
380,20563,96,112
384,20567,96,112
388,20571,96,112
392,20575,96,112
396,20579,96,112
400,20583,96,112
404,20587,96,112
408,20591,96,112
412,20595,96,112
416,20599,96,112
420,20603,96,112
424,20607,96,112
428,20611,96,112
432,20615,96,112
436,20619,96,112
440,20623,96,112
444,20627,96,112
448,20631,96,112
452,20635,96,112
456,20639,96,112
460,20643,96,112
464,20647,96,112
468,20651,96,112
472,20655,96,112
476,20659,96,112
480,20663,96,112
484,20667,96,112
488,20671,96,112
492,20675,96,112
496,20679,96,112
500,20683,96,112
504,20687,96,112
508,20691,96,112
512,20695,96,112
516,20699,96,112
520,20703,96,112
524,20707,96,112
528,20711,96,112
532,20715,96,112
536,20719,96,112
540,20723,96,112
544,20727,96,112
548,20731,96,112
552,20735,96,112
556,20739,96,112
560,20743,96,112
564,20747,96,236
568,20751,96,112
572,20755,96,112
576,20759,96,112
580,20763,96,112
584,20767,96,112
588,20771,96,112
592,20775,96,112
596,20779,96,112
600,20783,96,112
604,20787,96,112
608,20791,96,112
612,20795,96,112
616,20799,96,112
620,20803,96,112
624,20807,96,112
628,20811,96,112
632,20815,96,112
636,20819,96,112
640,20823,96,112
644,20827,96,112
648,20831,96,112
652,20835,96,112
656,20839,96,112
660,20843,96,112
664,20847,96,112
668,20851,96,112
672,20855,96,112
676,20859,96,112
680,20863,96,112
684,20867,96,112
688,20871,96,112
692,20875,96,112
696,20879,96,112
700,20883,96,112
704,20887,96,112
708,20891,96,112
712,20895,96,112
716,20899,96,112
720,20903,96,112
724,20907,96,112
728,20911,96,112
732,20915,96,112
736,20919,96,112
740,20923,96,112
744,20927,96,112
748,20931,96,112
752,20935,96,112
756,20939,96,112
760,20943,96,112
764,20947,96,112
768,20951,96,112
772,20955,96,112
776,20959,96,112
780,20963,96,112
784,20967,96,112
788,20971,96,112
792,20975,96,112
796,20979,96,112
800,20983,96,112
804,20987,96,112
808,20991,96,112
812,20995,96,112
816,20999,96,112
820,21003,96,112
824,21007,96,112
828,21011,96,112
832,21015,96,112
836,21019,96,112
840,21023,96,112
844,21027,96,112
848,21031,96,112
852,21035,96,112
856,21039,96,112
860,21043,96,112
864,21047,96,112
868,21051,96,112
872,21055,96,112
876,21059,96,112
880,21063,96,112
884,21067,96,112
888,21071,96,112
892,21075,96,112
896,21079,96,112
900,21083,96,112
