sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
516,20699,0x10C0,$04:E6AF,C8,120.0,112.0,True,frame_0516.png
516,20699,0x1400,$04:FABA,C8,193.312,111.898,True,frame_0516.png
518,20701,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0518.png
518,20701,0x10C0,$04:E6AF,C8,142.0,112.0,True,frame_0518.png
518,20701,0x1400,$04:FABA,C8,192.688,112.344,True,frame_0518.png
520,20703,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0520.png
520,20703,0x10C0,$04:E6AF,C8,164.0,112.0,True,frame_0520.png
520,20703,0x1400,$04:FABA,C8,192.062,112.758,True,frame_0520.png
522,20705,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0522.png
522,20705,0x1080,$04:E6AF,C8,27.0,112.0,True,frame_0522.png
522,20705,0x10C0,$04:E6AF,C8,186.0,112.0,True,frame_0522.png
522,20705,0x1400,$04:FABA,C8,191.438,113.141,True,frame_0522.png
524,20707,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0524.png
524,20707,0x1080,$04:E6AF,C8,49.0,112.0,True,frame_0524.png
524,20707,0x10C0,$04:E6AF,C8,208.0,112.0,True,frame_0524.png
524,20707,0x1400,$04:FABA,C8,190.812,113.492,True,frame_0524.png
526,20709,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0526.png
526,20709,0x1080,$04:E6AF,C8,71.0,112.0,True,frame_0526.png
526,20709,0x10C0,$04:E6AF,C8,230.0,112.0,True,frame_0526.png
526,20709,0x1400,$04:FABA,C8,190.188,113.812,True,frame_0526.png
526,20709,0x16C0,$02:90F0,C8,272.0,184.0,False,frame_0526.png
526,20709,0x1700,$02:9274,E0,272.0,176.0,False,frame_0526.png
528,20711,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0528.png
528,20711,0x1080,$04:E6AF,C8,93.0,112.0,True,frame_0528.png
528,20711,0x1400,$04:FABA,C8,189.562,114.102,True,frame_0528.png
528,20711,0x16C0,$02:90F0,C8,270.0,184.0,False,frame_0528.png
528,20711,0x1700,$02:9274,E0,270.0,176.0,False,frame_0528.png
530,20713,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0530.png
530,20713,0x1080,$04:E6AF,C8,115.0,112.0,True,frame_0530.png
530,20713,0x1400,$04:FABA,C8,188.938,114.359,True,frame_0530.png
530,20713,0x16C0,$02:90F0,C8,268.0,184.0,False,frame_0530.png
530,20713,0x1700,$02:9274,E0,268.0,176.0,False,frame_0530.png
532,20715,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0532.png
532,20715,0x1080,$04:E6AF,C8,137.0,112.0,True,frame_0532.png
532,20715,0x10C0,$04:E6AF,C8,27.0,112.0,True,frame_0532.png
532,20715,0x1400,$04:FABA,C8,188.312,114.586,True,frame_0532.png
532,20715,0x16C0,$02:90F0,C8,266.0,184.0,False,frame_0532.png
532,20715,0x1700,$02:9274,E0,266.0,176.0,False,frame_0532.png
534,20717,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0534.png
534,20717,0x1080,$04:E6AF,C8,159.0,112.0,True,frame_0534.png
534,20717,0x10C0,$04:E6AF,C8,49.0,112.0,True,frame_0534.png
534,20717,0x1400,$04:FABA,C8,187.688,114.781,True,frame_0534.png
534,20717,0x16C0,$02:90F0,C8,264.0,184.0,False,frame_0534.png
534,20717,0x1700,$02:9274,E0,264.0,176.0,False,frame_0534.png
536,20719,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0536.png
536,20719,0x1080,$04:E6AF,C8,181.0,112.0,True,frame_0536.png
536,20719,0x10C0,$04:E6AF,C8,71.0,112.0,True,frame_0536.png
536,20719,0x1400,$04:FABA,C8,187.062,114.945,True,frame_0536.png
536,20719,0x16C0,$02:90F0,C8,262.0,184.0,False,frame_0536.png
536,20719,0x1700,$02:9274,E0,262.0,176.0,False,frame_0536.png
538,20721,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0538.png
538,20721,0x1080,$04:E6AF,C8,203.0,112.0,True,frame_0538.png
538,20721,0x10C0,$04:E6AF,C8,93.0,112.0,True,frame_0538.png
538,20721,0x1400,$04:FABA,C8,186.438,115.078,True,frame_0538.png
