sample,source_frame,result_frame,requested_mask,poll_mask,input_polls,speed_percent,lagged
154,20336,20337,128,128,4,50,false
155,20337,20338,128,128,4,50,false
156,20338,20339,128,128,4,50,false
157,20339,20340,128,128,4,50,false
158,20340,20341,0,0,4,50,false
159,20341,20342,0,0,4,50,false
160,20342,20343,0,0,4,50,false
161,20343,20344,0,0,4,50,false
162,20344,20345,128,128,4,50,false
163,20345,20346,128,128,4,50,false
164,20346,20347,128,128,4,50,false
165,20347,20348,128,128,4,50,false
166,20348,20349,0,0,4,50,false
167,20349,20350,0,0,4,50,false
168,20350,20351,0,0,4,50,false
169,20351,20352,0,0,4,50,false
170,20352,20353,128,128,4,50,false
171,20353,20354,128,128,4,50,false
172,20354,20355,128,128,4,50,false
173,20355,20356,128,128,4,50,false
174,20356,20357,0,0,4,50,false
175,20357,20358,0,0,4,50,false
176,20358,20359,0,0,4,50,false
177,20359,20360,0,0,4,50,false
178,20360,20361,128,128,4,50,false
179,20361,20362,128,128,4,50,false
180,20362,20363,128,128,4,50,false
181,20363,20364,128,128,4,50,false
182,20364,20365,0,0,4,50,false
183,20365,20366,0,0,4,50,false
184,20366,20367,0,0,4,50,false
185,20367,20368,0,0,4,50,false
186,20368,20369,128,128,4,50,false
187,20369,20370,128,128,4,50,false
188,20370,20371,128,128,4,50,false
189,20371,20372,128,128,4,50,false
190,20372,20373,0,0,4,50,false
191,20373,20374,0,0,4,50,false
192,20374,20375,0,0,4,50,false
193,20375,20376,0,0,4,50,false
194,20376,20377,128,128,4,50,false
195,20377,20378,128,128,4,50,false
196,20378,20379,128,128,4,50,false
197,20379,20380,128,128,4,50,false
198,20380,20381,0,0,4,50,false
199,20381,20382,0,0,4,50,false
200,20382,20383,0,0,4,50,false
201,20383,20384,0,0,4,50,false
202,20384,20385,128,128,4,50,false
203,20385,20386,128,128,4,50,false
204,20386,20387,128,128,4,50,false
205,20387,20388,128,128,4,50,false
206,20388,20389,0,0,4,50,false
207,20389,20390,0,0,4,50,false
208,20390,20391,0,0,4,50,false
209,20391,20392,0,0,4,50,false
210,20392,20393,128,128,4,50,false
211,20393,20394,128,128,4,50,false
212,20394,20395,128,128,4,50,false
213,20395,20396,128,128,4,50,false
214,20396,20397,0,0,4,50,false
215,20397,20398,0,0,4,50,false
216,20398,20399,0,0,4,50,false
217,20399,20400,0,0,4,50,false
218,20400,20401,128,128,4,50,false
219,20401,20402,128,128,4,50,false
220,20402,20403,128,128,4,50,false
221,20403,20404,128,128,4,50,false
222,20404,20405,0,0,4,50,false
223,20405,20406,0,0,4,50,false
224,20406,20407,0,0,4,50,false
225,20407,20408,0,0,4,50,false
226,20408,20409,128,128,4,50,false
227,20409,20410,128,128,4,50,false
228,20410,20411,128,128,4,50,false
229,20411,20412,128,128,4,50,false
230,20412,20413,0,0,4,50,false
231,20413,20414,0,0,4,50,false
232,20414,20415,0,0,4,50,false
233,20415,20416,0,0,4,50,false
234,20416,20417,128,128,4,50,false
235,20417,20418,128,128,4,50,false
236,20418,20419,128,128,4,50,false
237,20419,20420,128,128,4,50,false
238,20420,20421,0,0,4,50,false
239,20421,20422,0,0,4,50,false
240,20422,20423,0,0,4,50,false
241,20423,20424,0,0,4,50,false
242,20424,20425,128,128,4,50,false
243,20425,20426,128,128,4,50,false
244,20426,20427,128,128,4,50,false
245,20427,20428,128,128,4,50,false
246,20428,20429,0,0,4,50,false
247,20429,20430,0,0,4,50,false
248,20430,20431,0,0,4,50,false
249,20431,20432,0,0,4,50,false
250,20432,20433,128,128,4,50,false
251,20433,20434,128,128,4,50,false
252,20434,20435,128,128,4,50,false
253,20435,20436,128,128,4,50,false
254,20436,20437,0,0,4,50,false
255,20437,20438,0,0,4,50,false
256,20438,20439,0,0,4,50,false
257,20439,20440,0,0,4,50,false
258,20440,20441,128,128,4,50,false
259,20441,20442,128,128,4,50,false
260,20442,20443,128,128,4,50,false
261,20443,20444,128,128,4,50,false
262,20444,20445,0,0,4,50,false
263,20445,20446,0,0,4,50,false
264,20446,20447,0,0,4,50,false
265,20447,20448,0,0,4,50,false
266,20448,20449,128,128,4,50,false
267,20449,20450,128,128,4,50,false
268,20450,20451,128,128,4,50,false
269,20451,20452,128,128,4,50,false
270,20452,20453,0,0,4,50,false
271,20453,20454,0,0,4,50,false
272,20454,20455,0,0,4,50,false
273,20455,20456,0,0,4,50,false
274,20456,20457,128,128,4,50,false
275,20457,20458,128,128,4,50,false
276,20458,20459,128,128,4,50,false
277,20459,20460,128,128,4,50,false
278,20460,20461,0,0,4,50,false
279,20461,20462,0,0,4,50,false
280,20462,20463,0,0,4,50,false
281,20463,20464,0,0,4,50,false
282,20464,20465,128,128,4,50,false
283,20465,20466,128,128,4,50,false
284,20466,20467,128,128,4,50,false
285,20467,20468,128,128,4,50,false
286,20468,20469,0,0,4,50,false
287,20469,20470,0,0,4,50,false
288,20470,20471,0,0,4,50,false
289,20471,20472,0,0,4,50,false
290,20472,20473,128,128,4,50,false
291,20473,20474,128,128,4,50,false
292,20474,20475,128,128,4,50,false
293,20475,20476,128,128,4,50,false
294,20476,20477,0,0,4,50,false
295,20477,20478,0,0,4,50,false
296,20478,20479,0,0,4,50,false
297,20479,20480,0,0,4,50,false
298,20480,20481,128,128,4,50,false
299,20481,20482,128,128,4,50,false
300,20482,20483,128,128,4,50,false
301,20483,20484,128,128,4,50,false
302,20484,20485,0,0,4,50,false
303,20485,20486,0,0,4,50,false
304,20486,20487,0,0,4,50,false
305,20487,20488,0,0,4,50,false
306,20488,20489,128,128,4,50,false
307,20489,20490,128,128,4,50,false
308,20490,20491,128,128,4,50,false
309,20491,20492,128,128,4,50,false
310,20492,20493,0,0,4,50,false
311,20493,20494,0,0,4,50,false
312,20494,20495,0,0,4,50,false
313,20495,20496,0,0,4,50,false
314,20496,20497,128,128,4,50,false
315,20497,20498,128,128,4,50,false
316,20498,20499,128,128,4,50,false
317,20499,20500,128,128,4,50,false
318,20500,20501,0,0,4,50,false
319,20501,20502,0,0,4,50,false
320,20502,20503,0,0,4,50,false
321,20503,20504,0,0,4,50,false
322,20504,20505,128,128,4,50,false
323,20505,20506,128,128,4,50,false
324,20506,20507,128,128,4,50,false
325,20507,20508,128,128,4,50,false
326,20508,20509,0,0,4,50,false
327,20509,20510,0,0,4,50,false
328,20510,20511,0,0,4,50,false
329,20511,20512,0,0,4,50,false
330,20512,20513,128,128,4,50,false
331,20513,20514,128,128,4,50,false
332,20514,20515,128,128,4,50,false
333,20515,20516,128,128,4,50,false
334,20516,20517,0,0,4,50,false
335,20517,20518,0,0,4,50,false
336,20518,20519,0,0,4,50,false
337,20519,20520,0,0,4,50,false
338,20520,20521,128,128,4,50,false
339,20521,20522,128,128,4,50,false
340,20522,20523,128,128,4,50,false
341,20523,20524,128,128,4,50,false
342,20524,20525,0,0,4,50,false
343,20525,20526,0,0,4,50,false
344,20526,20527,0,0,4,50,false
345,20527,20528,0,0,4,50,false
346,20528,20529,128,128,4,50,false
347,20529,20530,128,128,4,50,false
348,20530,20531,128,128,4,50,false
349,20531,20532,128,128,4,50,false
350,20532,20533,0,0,4,50,false
351,20533,20534,0,0,4,50,false
352,20534,20535,0,0,4,50,false
353,20535,20536,0,0,4,50,false
354,20536,20537,128,128,4,50,false
355,20537,20538,128,128,4,50,false
356,20538,20539,128,128,4,50,false
357,20539,20540,128,128,4,50,false
358,20540,20541,0,0,4,50,false
359,20541,20542,0,0,4,50,false
360,20542,20543,0,0,4,50,false
361,20543,20544,0,0,4,50,false
362,20544,20545,128,128,4,50,false
363,20545,20546,128,128,4,50,false
364,20546,20547,128,128,4,50,false
365,20547,20548,128,128,4,50,false
366,20548,20549,0,0,4,50,false
367,20549,20550,0,0,4,50,false
368,20550,20551,0,0,4,50,false
369,20551,20552,0,0,4,50,false
370,20552,20553,128,128,4,50,false
371,20553,20554,128,128,4,50,false
372,20554,20555,128,128,4,50,false
373,20555,20556,128,128,4,50,false
