sample,emu_frame,player_x,player_y
4,20187,96,112
8,20191,96,112
12,20195,96,112
16,20199,96,112
20,20203,96,112
24,20207,96,112
28,20211,96,112
32,20215,96,112
36,20219,96,112
40,20223,96,112
44,20227,96,112
48,20231,96,112
52,20235,96,112
56,20239,96,112
60,20243,96,112
64,20247,96,112
68,20251,96,112
72,20255,96,112
76,20259,96,112
80,20263,96,112
84,20267,96,112
88,20271,96,112
92,20275,96,112
96,20279,96,112
100,20283,96,112
104,20287,96,112
108,20291,96,112
112,20295,96,112
116,20299,96,112
120,20303,96,112
124,20307,96,112
128,20311,96,112
132,20315,96,112
136,20319,96,112
140,20323,96,112
144,20327,96,112
148,20331,96,112
152,20335,96,112
156,20339,96,112
160,20343,96,112
164,20347,96,112
168,20351,96,112
172,20355,96,112
176,20359,96,112
180,20363,96,112
184,20367,96,112
188,20371,96,112
192,20375,96,112
196,20379,96,112
200,20383,96,112
204,20387,96,112
208,20391,96,112
212,20395,96,112
216,20399,96,112
220,20403,96,112
224,20407,96,112
228,20411,96,112
232,20415,96,112
236,20419,96,112
240,20423,96,112
244,20427,96,112
248,20431,96,112
252,20435,96,112
256,20439,96,112
260,20443,96,112
264,20447,96,112
268,20451,96,112
272,20455,96,112
276,20459,96,112
280,20463,96,112
284,20467,96,112
288,20471,96,112
292,20475,96,112
296,20479,96,112
300,20483,96,112
304,20487,96,112
308,20491,96,112
312,20495,96,112
316,20499,96,112
320,20503,96,112
324,20507,96,112
328,20511,96,112
332,20515,96,112
336,20519,96,112
340,20523,96,112
344,20527,96,112
348,20531,96,112
352,20535,96,112
356,20539,96,112
360,20543,96,112
