frame,0x002C,0x0098,0x009B,0x009D,0x00FA,0x00FB,0x0629,0x062B,0x0901,0x0905,0x100D,0x1014,0x1024,
20141,206,0,0,0,0,0,22,22,104,104,0,112,64,
20142,206,0,0,0,0,0,22,22,104,104,0,112,64,
20143,206,0,0,0,0,0,22,22,224,224,0,112,64,
20144,206,0,0,0,0,0,22,22,224,224,0,112,64,
20145,206,0,0,0,0,0,22,22,104,104,0,112,64,
20146,206,0,0,0,0,0,22,22,104,104,0,112,64,
20147,206,0,0,0,0,0,22,22,224,224,0,112,64,
20148,206,0,0,0,0,0,22,22,224,224,0,112,64,
20149,206,0,0,0,0,0,22,22,104,104,0,112,64,
20150,206,0,0,0,0,0,22,22,104,104,0,112,64,
20151,206,0,0,0,0,0,22,22,224,224,0,112,64,
20152,206,0,0,0,0,0,0,0,224,224,0,112,64,
20153,206,0,0,0,0,0,0,0,104,104,0,112,64,
20154,206,0,0,0,0,0,0,0,104,104,0,112,64,
20155,206,0,0,0,0,0,0,0,224,224,0,112,64,
20156,206,0,0,0,0,0,0,0,224,224,0,112,64,
20157,206,0,0,0,0,0,0,0,104,104,0,112,64,
20158,206,0,0,0,0,0,0,0,104,104,0,112,64,
20159,206,0,0,0,0,0,0,0,224,224,0,112,64,
20160,206,0,0,0,0,0,0,0,224,224,0,112,64,
20161,206,0,0,0,0,0,0,0,104,104,0,112,64,
20162,206,0,0,0,0,0,0,0,104,104,0,112,64,
20163,206,0,0,0,0,0,0,0,224,224,0,112,64,
20164,206,0,0,0,0,0,0,0,224,224,0,112,64,
20165,206,0,0,0,0,0,0,0,104,104,0,112,64,
20166,206,0,0,0,0,0,0,0,104,104,0,112,64,
20167,206,0,0,0,0,0,0,0,224,224,0,112,64,
20168,206,0,0,0,0,0,23,23,224,224,0,112,64,
20169,206,0,0,0,0,0,23,23,104,104,0,112,64,
20170,206,0,0,0,0,0,23,23,104,104,0,112,64,
20171,206,0,0,0,0,0,23,23,224,224,0,112,64,
20172,206,0,0,0,0,0,23,23,224,224,0,112,64,
20173,206,0,0,0,0,0,23,23,104,104,0,112,64,
20174,206,0,0,0,0,0,23,23,104,104,0,112,64,
20175,206,0,0,0,0,0,23,23,224,224,0,112,64,
20176,112,0,0,0,0,0,23,23,224,224,255,112,64,
20177,112,0,0,0,0,0,23,23,104,104,255,112,64,
20178,112,0,0,0,0,0,23,23,104,104,255,112,64,
20179,112,0,0,0,0,0,23,23,224,224,255,112,64,
20180,112,0,0,0,0,0,23,23,224,224,255,112,64,
20181,112,0,0,0,0,0,23,23,104,104,255,112,64,
20182,112,0,0,0,0,0,23,23,104,104,255,112,64,
20183,112,0,0,0,0,0,23,23,224,224,255,112,64,
20184,112,0,0,0,0,0,0,0,224,224,255,112,64,
20185,112,0,0,0,0,0,0,0,104,104,255,112,64,
20186,112,0,0,0,0,0,0,0,104,104,255,112,64,
20187,112,8,8,0,8,0,0,0,224,224,0,109,64,
20188,109,8,8,8,8,8,0,0,224,224,0,107,64,
20189,107,8,8,8,8,8,0,0,96,96,0,104,64,
20190,104,8,8,8,8,8,0,0,94,94,0,102,64,
20191,102,8,8,8,8,8,0,0,224,224,0,99,64,
20192,99,8,8,8,8,8,0,0,224,224,0,97,64,
20193,97,8,8,8,8,8,0,0,86,86,0,94,64,
20194,94,8,8,8,8,8,0,0,84,84,0,92,67,
20195,92,8,8,8,8,8,0,0,224,224,0,89,67,
20196,89,8,8,8,8,8,0,0,224,224,0,87,67,
20197,87,8,8,8,8,8,0,0,76,76,0,84,67,
20198,84,8,8,8,8,8,0,0,74,74,0,82,67,
20199,82,8,8,8,8,8,0,0,224,224,0,79,67,
20200,79,8,8,8,8,8,22,22,224,224,0,77,67,
20201,77,0,0,8,0,8,22,22,69,69,255,77,67,
20202,77,0,0,0,0,0,22,22,69,69,255,77,67,
20203,77,0,0,0,0,0,22,22,224,224,255,77,67,
20204,77,0,0,0,0,0,22,22,224,224,255,77,67,
20205,77,0,0,0,0,0,22,22,69,69,255,77,67,
20206,77,0,0,0,0,0,22,22,69,69,255,77,67,
20207,77,0,0,0,0,0,22,22,224,224,255,77,67,
20208,77,0,0,0,0,0,22,22,224,224,255,77,67,
20209,77,0,0,0,0,0,22,22,69,69,255,77,64,
20210,77,0,0,0,0,0,22,22,69,69,255,77,64,
20211,77,0,0,0,0,0,22,22,224,224,255,77,64,
20212,77,0,0,0,0,0,22,22,224,224,255,77,64,
20213,77,4,4,0,4,0,22,22,71,71,16,79,64,
20214,79,4,4,4,4,4,22,22,74,74,16,82,64,
20215,82,4,4,4,4,4,22,22,224,224,16,84,64,
20216,84,4,4,4,4,4,0,0,224,224,16,87,64,
20217,87,4,4,4,4,4,0,0,81,81,16,89,64,
20218,89,4,4,4,4,4,0,0,84,84,16,92,64,
20219,92,4,4,4,4,4,0,0,224,224,16,94,64,
20220,94,4,4,4,4,4,0,0,224,224,16,97,64,
20221,97,4,4,4,4,4,0,0,91,91,16,99,61,
20222,99,4,4,4,4,4,0,0,94,94,16,102,61,
20223,102,4,4,4,4,4,0,0,224,224,16,104,61,
20224,104,4,4,4,4,4,0,0,99,99,16,107,61,
20225,107,4,4,4,4,4,0,0,101,101,16,109,61,
20226,109,4,4,4,4,4,0,0,104,104,16,112,61,
20227,112,4,4,4,4,4,0,0,106,106,16,114,61,
20228,114,4,4,4,4,4,0,0,109,109,16,117,61,
20229,117,0,0,4,0,4,0,0,109,109,255,117,61,
20230,117,0,0,0,0,0,0,0,109,109,255,117,61,
20231,117,0,0,0,0,0,0,0,109,109,255,117,61,
20232,117,0,0,0,0,0,16,16,109,109,255,117,61,
20233,117,0,0,0,0,0,16,16,109,109,255,117,61,
20234,117,0,0,0,0,0,16,16,109,109,255,117,61,
20235,117,0,0,0,0,0,16,16,109,109,255,117,61,
20236,117,0,0,0,0,0,16,16,109,109,255,117,61,
20237,117,0,0,0,0,0,16,16,109,109,255,117,64,
20238,117,0,0,0,0,0,16,16,109,109,255,117,64,
20239,117,0,0,0,0,0,16,16,109,109,255,117,64,
20240,117,0,0,0,0,0,16,16,109,109,255,117,64,
20241,117,0,0,0,0,0,16,16,109,109,255,117,64,
20242,117,0,0,0,0,0,16,16,109,109,255,117,64,
20243,117,8,8,0,8,0,16,16,106,106,0,114,64,
20244,114,8,8,8,8,8,16,16,104,104,0,112,64,
20245,112,8,8,8,8,8,16,16,101,101,0,109,64,
20246,109,8,8,8,8,8,16,16,99,99,0,107,64,
20247,107,8,8,8,8,8,16,16,96,96,0,104,64,
20248,104,8,8,8,8,8,0,0,94,94,0,102,64,
20249,102,8,8,8,8,8,0,0,91,91,0,99,64,
20250,99,8,8,8,8,8,0,0,89,89,0,97,64,
20251,97,8,8,8,8,8,0,0,86,86,0,94,67,
20252,94,8,8,8,8,8,0,0,84,84,0,92,67,
20253,92,8,8,8,8,8,0,0,81,81,0,89,67,
20254,89,8,8,8,8,8,0,0,79,79,0,87,67,
20255,87,0,0,8,0,8,0,0,79,79,255,87,67,
20256,87,0,0,0,0,0,0,0,79,79,255,87,67,
20257,87,0,0,0,0,0,0,0,79,79,255,87,67,
20258,87,0,0,0,0,0,0,0,79,79,255,87,67,
20259,87,0,0,0,0,0,0,0,79,79,255,87,67,
20260,87,0,0,0,0,0,0,0,79,79,255,87,67,
20261,87,0,0,0,0,0,0,0,79,79,255,87,67,
20262,87,0,0,0,0,0,0,0,79,79,255,87,67,
20263,87,0,0,0,0,0,0,0,79,79,255,87,64,
20264,87,0,0,0,0,0,16,16,79,79,255,87,64,
20265,87,0,0,0,0,0,16,16,79,79,255,87,64,
20266,87,0,0,0,0,0,16,16,79,79,255,87,64,
20267,87,0,0,0,0,0,16,16,79,79,255,87,64,
20268,87,0,0,0,0,0,16,16,79,79,255,87,64,
20269,87,4,4,0,4,0,16,16,81,81,16,89,64,
20270,89,4,4,4,4,4,16,16,84,84,16,92,64,
20271,92,4,4,4,4,4,16,16,86,86,16,94,64,
20272,94,4,4,4,4,4,16,16,89,89,16,97,64,
20273,97,4,4,4,4,4,16,16,91,91,16,99,64,
20274,99,4,4,4,4,4,16,16,94,94,16,102,64,
20275,102,4,4,4,4,4,16,16,96,96,16,104,64,
20276,104,4,4,4,4,4,16,16,99,99,16,107,64,
20277,107,4,4,4,4,4,16,16,101,101,16,109,61,
20278,109,4,4,4,4,4,16,16,104,104,16,112,61,
20279,112,4,4,4,4,4,16,16,106,106,16,114,61,
20280,114,4,4,4,4,4,0,0,109,109,16,117,61,
20281,117,4,4,4,4,4,0,0,111,111,16,119,61,
20282,119,4,4,4,4,4,0,0,114,114,16,122,61,
20283,122,0,0,4,0,4,0,0,114,114,255,122,61,
20284,122,0,0,0,0,0,0,0,114,114,255,122,61,
20285,122,0,0,0,0,0,0,0,114,114,255,122,61,
20286,122,0,0,0,0,0,0,0,114,114,255,122,61,
20287,122,0,0,0,0,0,0,0,114,114,255,122,61,
20288,122,0,0,0,0,0,0,0,114,114,255,122,61,
20289,122,0,0,0,0,0,0,0,114,114,255,122,61,
20290,122,0,0,0,0,0,0,0,114,114,255,122,61,
20291,122,0,0,0,0,0,0,0,114,114,255,122,64,
20292,122,0,0,0,0,0,0,0,114,114,255,122,64,
20293,122,0,0,0,0,0,0,0,114,114,255,122,64,
20294,122,0,0,0,0,0,0,0,114,114,255,122,64,
20295,122,0,0,0,0,0,0,0,114,114,255,122,64,
20296,122,0,0,0,0,0,16,16,114,114,255,122,64,
20297,122,0,0,0,0,0,16,16,114,114,255,122,64,
20298,122,8,8,0,8,0,16,16,111,111,0,119,64,
20299,119,8,8,8,8,8,16,16,109,109,0,117,64,
20300,117,8,8,8,8,8,16,16,106,106,0,114,64,
20301,114,8,8,8,8,8,16,16,104,104,0,112,64,
20302,112,8,8,8,8,8,16,16,101,101,0,109,64,
20303,109,8,8,8,8,8,16,16,99,99,0,107,64,
20304,107,8,8,8,8,8,16,16,96,96,0,104,64,
20305,104,8,8,8,8,8,16,16,94,94,0,102,64,
20306,102,8,8,8,8,8,16,16,91,91,0,99,67,
20307,99,8,8,8,8,8,16,16,89,89,0,97,67,
20308,97,8,8,8,8,8,16,16,86,86,0,94,67,
20309,94,8,8,8,8,8,16,16,84,84,0,92,67,
20310,92,0,0,8,0,8,16,16,84,84,255,92,67,
20311,92,0,0,0,0,0,16,16,84,84,255,92,67,
20312,92,0,0,0,0,0,0,0,84,84,255,92,67,
20313,92,0,0,0,0,0,0,0,84,84,255,92,67,
20314,92,0,0,0,0,0,0,0,84,84,255,92,67,
20315,92,0,0,0,0,0,0,0,84,84,255,92,67,
20316,92,0,0,0,0,0,0,0,84,84,255,92,67,
20317,92,0,0,0,0,0,0,0,84,84,255,92,67,
20318,92,0,0,0,0,0,0,0,84,84,255,92,64,
20319,92,0,0,0,0,0,0,0,84,84,255,92,64,
20320,92,0,0,0,0,0,0,0,84,84,255,92,64,
20321,92,0,0,0,0,0,0,0,84,84,255,92,64,
20322,92,0,0,0,0,0,0,0,84,84,255,92,64,
20323,92,4,4,0,4,0,0,0,86,86,16,94,64,
20324,94,4,4,4,4,4,0,0,89,89,16,97,64,
20325,97,4,4,4,4,4,0,0,91,91,16,99,64,
20326,99,4,4,4,4,4,0,0,94,94,16,102,64,
20327,102,4,4,4,4,4,0,0,96,96,16,104,64,
20328,104,4,4,4,4,4,16,16,99,99,16,107,64,
20329,107,4,4,4,4,4,16,16,101,101,16,109,64,
20330,109,4,4,4,4,4,16,16,104,104,16,112,64,
20331,112,4,4,4,4,4,16,16,106,106,16,114,61,
20332,114,4,4,4,4,4,16,16,109,109,16,117,61,
20333,117,4,4,4,4,4,16,16,111,111,16,119,61,
20334,119,4,4,4,4,4,16,16,114,114,16,122,61,
20335,122,4,4,4,4,4,16,16,116,116,16,124,61,
20336,124,4,4,4,4,4,16,16,119,119,16,127,61,
20337,127,0,0,4,0,4,16,16,119,119,255,127,61,
20338,127,0,0,0,0,0,16,16,119,119,255,127,61,
20339,127,0,0,0,0,0,16,16,119,119,255,127,61,
20340,127,0,0,0,0,0,16,16,56,56,255,127,61,
20341,127,0,0,0,0,0,16,16,119,119,255,127,61,
20342,127,0,0,0,0,0,16,16,56,56,255,127,61,
20343,127,0,0,0,0,0,16,16,119,119,255,127,61,
20344,127,0,0,0,0,0,0,0,56,56,255,127,61,
20345,127,0,0,0,0,0,0,0,119,119,255,127,64,
20346,127,0,0,0,0,0,0,0,56,56,255,127,64,
20347,127,0,0,0,0,0,0,0,119,119,255,127,64,
20348,127,8,8,0,8,0,0,0,56,56,0,124,64,
20349,124,8,8,8,8,8,0,0,114,114,0,122,64,
20350,122,8,8,8,8,8,0,0,56,56,0,119,64,
20351,119,8,8,8,8,8,0,0,109,109,0,117,64,
20352,117,8,8,8,8,8,0,0,56,56,0,114,64,
20353,114,8,8,8,8,8,0,0,104,104,0,112,64,
20354,112,8,8,8,8,8,0,0,56,56,0,109,64,
20355,109,8,8,8,8,8,0,0,99,99,0,107,64,
20356,107,8,8,8,8,8,0,0,56,56,0,104,67,
20357,104,8,8,8,8,8,0,0,94,94,0,102,67,
20358,102,8,8,8,8,8,0,0,56,56,0,99,67,
20359,99,0,0,8,0,8,0,0,91,91,255,99,67,
20360,99,0,0,0,0,0,16,16,57,57,255,99,67,
20361,99,0,0,0,0,0,16,16,91,91,255,99,67,
20362,99,0,0,0,0,0,16,16,56,56,255,99,67,
20363,99,0,0,0,0,0,16,16,91,91,255,99,67,
20364,99,0,0,0,0,0,16,16,56,56,255,99,67,
20365,99,0,0,0,0,0,16,16,91,91,255,99,67,
